Series_Title,Released_Year,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,soup
once upon a time in america,1984,"Crime, Drama",8.4,a former prohibition-era jewish gangster returns to the lower east side of manhattan over thirty years later where he once again must confront the ghosts and regrets of his old life,78.0,sergioleone,robertdeniro,jameswoods,elizabethmcgovern,once upon a time in america crime drama sergioleone robertdeniro jameswoods elizabethmcgovern a former prohibition-era jewish gangster returns to the lower east side of manhattan over thirty years later where he once again must confront the ghosts and regrets of his old life
raiders of the lost ark,1981,"Action, Adventure",8.4,in 1936 archaeologist and adventurer indiana jones is hired by the us government to find the ark of the covenant before adolf hitler's nazis can obtain its awesome powers,85.0,stevenspielberg,harrisonford,karenallen,paulfreeman,raiders of the lost ark action adventure stevenspielberg harrisonford karenallen paulfreeman in 1936 archaeologist and adventurer indiana jones is hired by the us government to find the ark of the covenant before adolf hitler's nazis can obtain its awesome powers
the shining,1980,"Drama, Horror",8.4,a family heads to an isolated hotel for the winter where a sinister presence influences the father into violence while his psychic son sees horrific forebodings from both past and future,66.0,stanleykubrick,jacknicholson,shelleyduvall,dannylloyd,the shining drama horror stanleykubrick jacknicholson shelleyduvall dannylloyd a family heads to an isolated hotel for the winter where a sinister presence influences the father into violence while his psychic son sees horrific forebodings from both past and future
apocalypse now,1979,"Drama, Mystery, War",8.4,a us army officer serving in vietnam is tasked with assassinating a renegade special forces colonel who sees himself as a god,94.0,francisfordcoppola,martinsheen,marlonbrando,robertduvall,apocalypse now drama mystery war francisfordcoppola martinsheen marlonbrando robertduvall a us army officer serving in vietnam is tasked with assassinating a renegade special forces colonel who sees himself as a god
alien,1979,"Horror, Sci-Fi",8.4,after a space merchant vessel receives an unknown transmission as a distress call one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun,89.0,ridleyscott,sigourneyweaver,tomskerritt,johnhurt,alien horror sci-fi ridleyscott sigourneyweaver tomskerritt johnhurt after a space merchant vessel receives an unknown transmission as a distress call one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun
anand,1971,"Drama, Musical",8.4,the story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs as told by his best friend,78.0,hrishikeshmukherjee,rajeshkhanna,amitabhbachchan,sumitasanyal,anand drama musical hrishikeshmukherjee rajeshkhanna amitabhbachchan sumitasanyal the story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs as told by his best friend
tengoku to jigoku,1963,"Crime, Drama, Mystery",8.4,an executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom,78.0,akirakurosawa,toshirômifune,yutakasada,tatsuyanakadai,tengoku to jigoku crime drama mystery akirakurosawa toshirômifune yutakasada tatsuyanakadai an executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom
dr. strangelove or: how i learned to stop worrying and love the bomb,1964,Comedy,8.4,an insane general triggers a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop,97.0,stanleykubrick,petersellers,georgecscott,sterlinghayden,dr strangelove or: how i learned to stop worrying and love the bomb comedy stanleykubrick petersellers georgecscott sterlinghayden an insane general triggers a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop
witness for the prosecution,1957,"Crime, Drama, Mystery",8.4,a veteran british barrister must defend his client in a murder trial that has surprise after surprise,78.0,billywilder,tyronepower,marlenedietrich,charleslaughton,witness for the prosecution crime drama mystery billywilder tyronepower marlenedietrich charleslaughton a veteran british barrister must defend his client in a murder trial that has surprise after surprise
paths of glory,1957,"Drama, War",8.4,after refusing to attack an enemy position a general accuses the soldiers of cowardice and their commanding officer must defend them,90.0,stanleykubrick,kirkdouglas,ralphmeeker,adolphemenjou,paths of glory drama war stanleykubrick kirkdouglas ralphmeeker adolphemenjou after refusing to attack an enemy position a general accuses the soldiers of cowardice and their commanding officer must defend them
rear window,1954,"Mystery, Thriller",8.4,a wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder,100.0,alfredhitchcock,jamesstewart,gracekelly,wendellcorey,rear window mystery thriller alfredhitchcock jamesstewart gracekelly wendellcorey a wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder
sunset blvd.,1950,"Drama, Film-Noir",8.4,a screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return,78.0,billywilder,williamholden,gloriaswanson,erichvonstroheim,sunset blvd drama film-noir billywilder williamholden gloriaswanson erichvonstroheim a screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return
the great dictator,1940,"Comedy, Drama, War",8.4,dictator adenoid hynkel tries to expand his empire while a poor jewish barber tries to avoid persecution from hynkel's regime,78.0,charleschaplin,charleschaplin,paulettegoddard,jackoakie,the great dictator comedy drama war charleschaplin charleschaplin paulettegoddard jackoakie dictator adenoid hynkel tries to expand his empire while a poor jewish barber tries to avoid persecution from hynkel's regime
1917,2019,"Drama, Thriller, War",8.3,april 6th 1917 as a regiment assembles to wage war deep in enemy territory two soldiers are assigned to race against time and deliver a message that will stop 1600 men from walking straight into a deadly trap,78.0,sammendes,dean-charleschapman,georgemackay,danielmays,1917 drama thriller war sammendes dean-charleschapman georgemackay danielmays april 6th 1917 as a regiment assembles to wage war deep in enemy territory two soldiers are assigned to race against time and deliver a message that will stop 1600 men from walking straight into a deadly trap
tumbbad,2018,"Drama, Fantasy, Horror",8.3,a mythological story about a goddess who created the entire universe the plot revolves around the consequences when humans build a temple for her first-born,78.0,rahianilbarve,anandgandhi,adeshprasad,sohumshah,tumbbad drama fantasy horror rahianilbarve anandgandhi adeshprasad sohumshah a mythological story about a goddess who created the entire universe the plot revolves around the consequences when humans build a temple for her first-born
andhadhun,2018,"Crime, Drama, Music",8.3,a series of mysterious events change the life of a blind pianist who must now report a crime that he should technically know nothing of,78.0,sriramraghavan,ayushmannkhurrana,tabu,radhikaapte,andhadhun crime drama music sriramraghavan ayushmannkhurrana tabu radhikaapte a series of mysterious events change the life of a blind pianist who must now report a crime that he should technically know nothing of
drishyam,2013,"Crime, Drama, Thriller",8.3,a man goes to extreme lengths to save his family from punishment after the family commits an accidental crime,78.0,jeethujoseph,mohanlal,meena,ashasharath,drishyam crime drama thriller jeethujoseph mohanlal meena ashasharath a man goes to extreme lengths to save his family from punishment after the family commits an accidental crime
jagten,2012,Drama,8.3,a teacher lives a lonely life all the while struggling over his son's custody his life slowly gets better as he finds love and receives good news from his son but his new luck is about to be brutally shattered by an innocent little lie,77.0,thomasvinterberg,madsmikkelsen,thomasbolarsen,annikawedderkopp,jagten drama thomasvinterberg madsmikkelsen thomasbolarsen annikawedderkopp a teacher lives a lonely life all the while struggling over his son's custody his life slowly gets better as he finds love and receives good news from his son but his new luck is about to be brutally shattered by an innocent little lie
