Series_Title,Released_Year,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,soup
rushmore,1998,"Comedy, Drama, Romance",7.7,the extracurricular king of rushmore preparatory school is put on academic probation,86.0,wesanderson,jasonschwartzman,billmurray,oliviawilliams,rushmore comedy drama romance wesanderson jasonschwartzman billmurray oliviawilliams the extracurricular king of rushmore preparatory school is put on academic probation
abre los ojos,1997,"Drama, Mystery, Sci-Fi",7.7,a very handsome man finds the love of his life but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured,78.0,alejandroamenábar,eduardonoriega,penélopecruz,chetelera,abre los ojos drama mystery sci-fi alejandroamenábar eduardonoriega penélopecruz chetelera a very handsome man finds the love of his life but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured
being john malkovich,1999,"Comedy, Drama, Fantasy",7.7,a puppeteer discovers a portal that leads literally into the head of movie star john malkovich,90.0,spikejonze,johncusack,camerondiaz,catherinekeener,being john malkovich comedy drama fantasy spikejonze johncusack camerondiaz catherinekeener a puppeteer discovers a portal that leads literally into the head of movie star john malkovich
as good as it gets,1997,"Comedy, Drama, Romance",7.7,a single mother and waitress a misanthropic author and a gay artist form an unlikely friendship after the artist is assaulted in a robbery,67.0,jameslbrooks,jacknicholson,helenhunt,gregkinnear,as good as it gets comedy drama romance jameslbrooks jacknicholson helenhunt gregkinnear a single mother and waitress a misanthropic author and a gay artist form an unlikely friendship after the artist is assaulted in a robbery
the fifth element,1997,"Action, Adventure, Sci-Fi",7.7,in the colorful future a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep evil and mr zorg at bay,52.0,lucbesson,brucewillis,millajovovich,garyoldman,the fifth element action adventure sci-fi lucbesson brucewillis millajovovich garyoldman in the colorful future a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep evil and mr zorg at bay
le dîner de cons,1998,Comedy,7.7,a few friends have a weekly fools' dinner where each brings a fool along pierre finds a champion fool for next dinner surprise,73.0,francisveber,thierrylhermitte,jacquesvilleret,francishuster,le dîner de cons comedy francisveber thierrylhermitte jacquesvilleret francishuster a few friends have a weekly fools' dinner where each brings a fool along pierre finds a champion fool for next dinner surprise
donnie brasco,1997,"Biography, Crime, Drama",7.7,an fbi undercover agent infiltrates the mob and finds himself identifying more with the mafia life at the expense of his regular one,76.0,mikenewell,alpacino,johnnydepp,michaelmadsen,donnie brasco biography crime drama mikenewell alpacino johnnydepp michaelmadsen an fbi undercover agent infiltrates the mob and finds himself identifying more with the mafia life at the expense of his regular one
shine,1996,"Biography, Drama, Music",7.7,pianist david helfgott driven by his father and teachers has a breakdown years later he returns to the piano to popular if not critical acclaim,87.0,scotthicks,geoffreyrush,arminmueller-stahl,justinbraine,shine biography drama music scotthicks geoffreyrush arminmueller-stahl justinbraine pianist david helfgott driven by his father and teachers has a breakdown years later he returns to the piano to popular if not critical acclaim
primal fear,1996,"Crime, Drama, Mystery",7.7,an altar boy is accused of murdering a priest and the truth is buried several layers deep,47.0,gregoryhoblit,richardgere,lauralinney,edwardnorton,primal fear crime drama mystery gregoryhoblit richardgere lauralinney edwardnorton an altar boy is accused of murdering a priest and the truth is buried several layers deep
hamlet,1996,Drama,7.7,hamlet prince of denmark returns home to find his father murdered and his mother remarrying the murderer his uncle meanwhile war is brewing,78.0,kennethbranagh,kennethbranagh,juliechristie,derekjacobi,hamlet drama kennethbranagh kennethbranagh juliechristie derekjacobi hamlet prince of denmark returns home to find his father murdered and his mother remarrying the murderer his uncle meanwhile war is brewing
